title,authors,summary,published,updated,link,pdf_url,categories
Quantum controllers for quantum systems,Seth Lloyd,"This paper discusses fully coherent quantum feedback control, in which the sensors, controller, and actuators are quantum systems and interact coherently with the system to be controlled: as a result, the entire feedback loop is coherent. Unlike conventional semiclassical feedback control of quantum systems, feedback control by quantum controllers is not stochastic, preserves the initial state of the controlled system, and can control quantum systems in ways that are not possible using conventional, incoherent feedback control. In particular, the target state to which the quantum controller drives the system can be entangled with another quantum system. This paper investigates quantum controllers and states necessary and sufficient conditions for a Hamiltonian quantum system to be observable and controllable by a quantum controller.",1997-03-23T20:54:50Z,1997-03-23T20:54:50Z,http://arxiv.org/abs/quant-ph/9703042v1,http://arxiv.org/pdf/quant-ph/9703042v1,quant-ph
Learning Control of Quantum Systems,Daoyi Dong,"This paper provides a brief introduction to learning control of quantum systems. In particular, the following aspects are outlined, including gradient-based learning for optimal control of quantum systems, evolutionary computation for learning control of quantum systems, learning-based quantum robust control, and reinforcement learning for quantum control.",2021-01-19T04:35:36Z,2021-01-19T04:35:36Z,http://arxiv.org/abs/2101.07461v1,http://arxiv.org/pdf/2101.07461v1,"quant-ph, cs.SY, eess.SY"
Linear time logic control of linear systems with disturbances,"Jinjin Zhang, Zhaohui Zhu, Jianfei Yang","The formal analysis and design of control systems is one of recent trends in control theory. In this area, in order to reduce the complexity and scale of control systems, finite abstractions of control systems are introduced and explored. In non-disturbance case, the controller of control systems is often generated from the controller of finite abstractions. Recently, Pola and Tabuada provide approximate finite abstractions for linear control systems with disturbance inputs. However, these finite abstractions and original linear systems do not always share the identical specifications, which obstructs designing controller (of linear systems) based on their finite abstractions. This paper tries to bridge such gap between linear systems and their finite abstractions.",2012-12-29T10:30:53Z,2012-12-29T10:30:53Z,http://arxiv.org/abs/1212.6610v1,http://arxiv.org/pdf/1212.6610v1,math.OC
Four Generations of Control Theory Development ?,Tai Cheng Yang,"This short article presents an opinion that control system study up to date can be divided into four generations; namely, 1 transfer function based; 2 state-space based; 3 networked control systems; and 4 control in the new AI era.",2021-02-11T18:38:19Z,2021-02-11T18:38:19Z,http://arxiv.org/abs/2102.08190v1,http://arxiv.org/pdf/2102.08190v1,"eess.SY, cs.AI, cs.SY"
"IEEEICM25: ""Stability of Digital Robust Motion Control Systems with   Disturbance Observer""",Emre Sariyildiz,"In this paper, new stability analysis methods are proposed for digital robust motion control systems implemented using a disturbance observer.",2025-02-02T06:05:31Z,2025-02-02T06:05:31Z,http://arxiv.org/abs/2502.00683v1,http://arxiv.org/pdf/2502.00683v1,"eess.SY, cs.SY"
Structural averaged controllability of linear ensemble systems,"Bahman Gharesifard, Xudong Chen","In the paper, we introduce and address the problem of structural averaged controllability for linear ensemble systems. We provide examples highlighting the differences between this problem and others. In particular, we show that structural averaged controllability is strictly weaker than structural controllability for single (or ensembles of) linear systems. We establish a set of necessary or sufficient conditions for sparsity patterns to be structurally averaged controllable.",2021-04-28T15:42:19Z,2021-04-28T15:42:19Z,http://arxiv.org/abs/2104.13839v1,http://arxiv.org/pdf/2104.13839v1,"math.OC, cs.SY, eess.SY"
Sparse Linear Ensemble Systems and Structural Averaged Controllability:   Single-input Case,"Xudong Chen, Bahman Gharesifard",We consider continuum ensembles of linear time-invariant control systems with single inputs. A sparsity pattern is said to be structurally averaged controllability if it admits an averaged controllable linear ensemble system. We provide a necessary and sufficient condition for a sparsity pattern to be structurally averaged controllable.,2023-12-14T16:16:05Z,2023-12-14T16:16:05Z,http://arxiv.org/abs/2312.09083v1,http://arxiv.org/pdf/2312.09083v1,"math.OC, cs.SY, eess.SY"
Approximate Controlability by Control Constraints for Infinite   Dimensional Systems,B. Shklyar,For linear infinite systems the approximate controllability problem by control constraints is considered. Controllability conditions represented via system parameters are obtained. Partial differential control systems and control systems with delays are considered as an example.,1996-04-01T14:22:48Z,1996-04-01T14:22:48Z,http://arxiv.org/abs/solv-int/9603010v1,http://arxiv.org/pdf/solv-int/9603010v1,"solv-int, nlin.SI"
Direct Computing on Control Capability for Linear Continuous-time   Systems Based on Hurwitz Matrix,Mingwang Zhao,"In this paper, based on the controllable canonical form and the Hurwitz matrix of the Hurwitz stability criterion, an analytical volume computing method for the smooth controllability zonotope for the linear continuous-time(LCT) systems, without of help of the eigenvalue computing of the systems, is presented. And then, the computing method is generlized to the volume computing of the controllability ellipsoid of the LCT systems. Because the controllability zonotope and ellipsoid are directly related to control capability and their volumes are the main index describing the control capability, the new volume computing methods proposed in this paper can help greatly the computing, analysis and optimization of the control capability of LCT systems.",2022-10-16T08:23:49Z,2022-10-16T08:23:49Z,http://arxiv.org/abs/2210.08483v1,http://arxiv.org/pdf/2210.08483v1,"eess.SY, cs.SY, math.OC"
Robustness under control sampling of reachability in fixed time for   nonlinear control systems,"Loïc Bourdin, Emmanuel Trélat",Under a regularity assumption we prove that reachability in fixed time for nonlinear control systems is robust under control sampling.,2020-06-19T07:20:37Z,2020-06-19T07:20:37Z,http://arxiv.org/abs/2006.10983v1,http://arxiv.org/pdf/2006.10983v1,math.OC
