title,authors,summary,published,updated,link,pdf_url,categories
Minimising the expectation value of the procurement cost in electricity   markets based on the prediction error of energy consumption,"Naoya Yamaguchi, Maiya Hori, Yoshinari Ideguchi","In this paper, we formulate a method for minimising the expectation value of the procurement cost of electricity in two popular spot markets: {\it day-ahead} and {\it intra-day}, under the assumption that expectation value of unit prices and the distributions of prediction errors for the electricity demand traded in two markets are known. The expectation value of the total electricity cost is minimised over two parameters that change the amounts of electricity. Two parameters depend only on the expected unit prices of electricity and the distributions of prediction errors for the electricity demand traded in two markets. That is, even if we do not know the predictions for the electricity demand, we can determine the values of two parameters that minimise the expectation value of the procurement cost of electricity in two popular spot markets. We demonstrate numerically that the estimate of two parameters often results in a small variance of the total electricity cost, and illustrate the usefulness of the proposed procurement method through the analysis of actual data.",2018-02-22T14:29:05Z,2018-08-01T11:13:19Z,http://arxiv.org/abs/1803.04532v2,http://arxiv.org/pdf/1803.04532v2,"q-fin.EC, q-fin.GN"
Long-term memory in electricity prices: Czech market evidence,"Ladislav Kristoufek, Petra Lunackova","We analyze long-term memory properties of hourly prices of electricity in the Czech Republic between 2009 and 2012. As the dynamics of the electricity prices is dominated by cycles -- mainly intraday and daily -- we opt for the detrended fluctuation analysis, which is well suited for such specific series. We find that the electricity prices are non-stationary but strongly mean-reverting which distinguishes them from other financial assets which are usually characterized as unit root series. Such description is attributed to specific features of electricity prices, mainly to non-storability. Additionally, we argue that the rapid mean-reversion is due to the principles of electricity spot prices. These properties are shown to be stable across all studied years.",2013-09-03T04:02:28Z,2013-09-03T04:02:28Z,http://arxiv.org/abs/1309.0582v1,http://arxiv.org/pdf/1309.0582v1,q-fin.ST
RFID-BASED Prepaid Power Meter,"Rozita Teymourzadeh, Mahmud Iwan, Ahmad J. A. Abueida","An Electric power meter is an important component in electric energy service. In the past, many consumers have complained about reading inaccurate of the electric meter. This research presents the development of an electrical power meter equipped with RFID reader. The RFID reader reads a valid RFID card and activates the power meter so that it can supply electricity. When the credit is about low or before the electricity is auto cut off, an SMS message will be sent to the users handphone to alert.",2018-06-10T19:04:30Z,2018-06-10T19:04:30Z,http://arxiv.org/abs/1807.10385v1,http://arxiv.org/pdf/1807.10385v1,eess.SP
Comparison of two models of electric neuro-stimulation and consequences   for the design of retinal prostheses,Erich W. Schmid,"Two simple mathematical models of electric neuro-stimulation are derived and discussed. It is found that the common injected-charge model is less realistic than a model, in which a latency period, which follows after a short electric pulse, plays a role as important as the electric pulse. A stimulation signal is proposed that takes advantage of these findings and calls for experimental testing.",2007-11-13T09:32:33Z,2007-11-13T09:32:33Z,http://arxiv.org/abs/0711.1938v1,http://arxiv.org/pdf/0711.1938v1,q-bio.NC
"Cellular velocity, electrical persistence and sensing in developed and   vegetative cells during electrotaxis","Isabella Guido, Douglas Diehl, Nora Aleida Olszok, Eberhard Bodenschatz","Cells have the ability to detect electric fields and respond to them with directed migratory movement. Investigations identified genes and proteins that play important roles in defining the migration efficiency. Nevertheless, the sensing and transduction mechanisms underlying directed cell migration are still under discussion. We use Dictyostelium discoideum cells as model system for studying eukaryotic cell migration in DC electric fields. We have defined the temporal electric persistence to characterize the memory that cells have in a varying electric field. In addition to imposing a directional bias, we observed that the electric field influences the cellular kinematics by accelerating the movement of cells along their paths. Moreover, the study of vegetative and briefly starved cells provided insight into the electrical sensing of cells. We found evidence that conditioned medium of starved cells was able to trigger the electrical sensing of vegetative cells that would otherwise not orient themselves in the electric field. This observation may be explained by the presence of the conditioned medium factor (CMF), a protein secreted by the cells, when they begin to starve. The results of this study give new insights into understanding the mechanism that triggers the electrical sensing and transduces the external stimulus into directed cell migration. Finally, the observed increased mobility of cells over time in an electric field could offer a novel perspective towards wound healing assays.",2020-04-16T10:29:48Z,2020-04-16T10:29:48Z,http://arxiv.org/abs/2004.07575v1,http://arxiv.org/pdf/2004.07575v1,q-bio.CB
Nash equilibrium for coupling of CO2 allowances and electricity markets,"Mireille Bossy, Nadia Maizi, Odile Pourtallier","In this note, we present an existence result of a Nash equilibrium between electricity producers selling their production on an electricity market and buying CO2 emission allowances on an auction carbon market. The producers' strategies integrate the coupling of the two markets via the cost functions of the electricity production. We set out a clear Nash equilibrium that can be used to compute equilibrium prices on both markets as well as the related electricity produced and CO2 emissions covered.",2013-11-06T21:50:23Z,2013-11-06T21:50:23Z,http://arxiv.org/abs/1311.1535v1,http://arxiv.org/pdf/1311.1535v1,q-fin.TR
Valuation of electricity storage contracts using the COS method,"Boris C. Boonstra, Cornelis W. Oosterlee","Storage of electricity has become increasingly important, due to the gradual replacement of fossil fuels by more variable and uncertain renewable energy sources. In this paper, we provide details on how to mathematically formalize a corresponding electricity storage contract, taking into account the physical limitations of a storage facility and the operational constraints of the electricity grid. We give details of a valuation technique to price these contracts, where the electricity prices follow a structural model based on a stochastic polynomial process. In particular, we show that the Fourier-based COS method can be used to price the contracts accurately and efficiently.",2021-01-08T08:53:45Z,2021-01-08T08:53:45Z,http://arxiv.org/abs/2101.02917v1,http://arxiv.org/pdf/2101.02917v1,q-fin.MF
Day-ahead electricity price prediction applying hybrid models of   LSTM-based deep learning methods and feature selection algorithms under   consideration of market coupling,"Wei Li, Denis Mike Becker","The availability of accurate day-ahead electricity price forecasts is pivotal for electricity market participants. In the context of trade liberalisation and market harmonisation in the European markets, accurate price forecasting becomes difficult for electricity market participants to obtain because electricity forecasting requires the consideration of features from ever-growing coupling markets. This study provides a method of exploring the influence of market coupling on electricity price prediction. We apply state-of-the-art long short-term memory (LSTM) deep neural networks combined with feature selection algorithms for electricity price prediction under the consideration of market coupling. LSTM models have a good performance in handling nonlinear and complex problems and processing time series data. In our empirical study of the Nordic market, the proposed models obtain considerably accurate results. The results show that feature selection is essential to achieving accurate prediction, and features from integrated markets have an impact on prediction. The feature importance analysis implies that the German market has a salient role in the price generation of Nord Pool.",2021-01-13T18:22:28Z,2021-07-18T10:59:46Z,http://arxiv.org/abs/2101.05249v2,http://arxiv.org/pdf/2101.05249v2,q-fin.CP
Pricing electricity derivatives within a Markov regime-switching model,Joanna Janczura,"In this paper analytic formulas for electricity derivatives are calculated. To this end, we assume that electricity spot prices follow a 3-regime Markov regime-switching model with independent spikes and drops and periodic transition matrix. Since the classical derivatives pricing methodology cannot be used in case of non-storable commodities, we employ the concept of the risk premium. The obtained theoretical results are then used for the European Energy Exchange (EEX) market data. The 3-regime model is calibrated to the spot electricity prices. Next, the risk premium is derived and used to calculate prices of European options written on spot, as well as, forward prices.",2012-03-24T19:41:11Z,2012-03-24T19:41:11Z,http://arxiv.org/abs/1203.5442v1,http://arxiv.org/pdf/1203.5442v1,q-fin.PR
A simulink circuit model for measurement of consumption of electric   energy using frequency method,"Emmanouil Markoulakis, Emmanuel Antonidakis, George S. Stavrakakis",The following analysis and presentation summarizes the implementation in Matlab / Simulink environment of a prototype model digital energy circuit for measurement of the consumption of electric energy of an electrification network in the installations of customer of electric energy that can be applied as part of any consumption smart meter.,2018-11-17T11:09:17Z,2018-11-17T11:09:17Z,http://arxiv.org/abs/1811.07144v1,http://arxiv.org/pdf/1811.07144v1,eess.SP
Unitary recordings in freely-moving pulse weakly electric fish suggest   spike timing encoding of electrosensory signals,"Alejo Rodríguez-Cattáneo, Ana Carolina Pereira, Pedro Aguilera, Angel Caputi",Unitary recordings in freely-moving pulse weakly electric fish suggest spike timing encoding of electrosensory signals,2020-01-27T17:35:59Z,2020-01-27T17:35:59Z,http://arxiv.org/abs/2001.09928v1,http://arxiv.org/pdf/2001.09928v1,q-bio.NC
Deep Reinforcement Learning in Electricity Generation Investment for the   Minimization of Long-Term Carbon Emissions and Electricity Costs,"Alexander J. M. Kell, Pablo Salas, Jean-Francois Mercure, Matthew Forshaw, A. Stephen McGough","A change from a high-carbon emitting electricity power system to one based on renewables would aid in the mitigation of climate change. Decarbonization of the electricity grid would allow for low-carbon heating, cooling and transport. Investments in renewable energy must be made over a long time horizon to maximise return of investment of these long life power generators. Over these long time horizons, there exist multiple uncertainties, for example in future electricity demand and costs to consumers and investors.   To mitigate for imperfect information of the future, we use the deep deterministic policy gradient (DDPG) deep reinforcement learning approach to optimize for a low-cost, low-carbon electricity supply using a modified version of the FTT:Power model. In this work, we model the UK and Ireland electricity markets. The DDPG algorithm is able to learn the optimum electricity mix through experience and achieves this between the years of 2017 and 2050. We find that a change from fossil fuels and nuclear power to renewables, based upon wind, solar and wave would provide a cheap and low-carbon alternative to fossil fuels.",2020-11-02T15:20:49Z,2020-11-02T15:20:49Z,http://arxiv.org/abs/2011.02342v1,http://arxiv.org/pdf/2011.02342v1,eess.SP
Climate change impacts on large-scale electricity system design   decisions for the 21st Century,"Smail Kozarcanin, Hailiang Liu, Gorm Bruun Andresen","Efforts to reduce climate change, but also falling prices and significant technology developments currently drive an increased weather-dependent electricity production from renewable electricity sources. In light of the changing climate, it is highly relevant to investigate the extent of weather changes that directly impacts the best system design decisions for these weather-dependent technologies. Here, we use three IPCC representative CO2 concentrations pathways for the period 2006--2100 with six high-resolution climate experiments for the European domain. Climate elements are used to calculate bias adjusted 3-hourly time series of wind and solar generation, and temperature corrected demand time series for 30 European countries using state-of-the-art methodology. Weather-driven electricity system analysis methodology is then applied to compare four key metrics of highly renewable electricity systems. We find that climate change does not have a discernible impact on the key metrics of the combined electricity system dynamics, and conclude that the effect on important system design parameters can likely be ignored.",2018-05-02T15:32:36Z,2018-05-02T15:32:36Z,http://arxiv.org/abs/1805.01364v1,http://arxiv.org/pdf/1805.01364v1,eess.SP
Voltage Profile Improvement of Distribution Grid by Using a New Control   Approach on Injected Reactive Power of Plug-in Electric Vehicle Parking Lots   to Grid,"Mohammad Mehdi Rezvani, Reza Khoud","Establishing electrical parking lots will become more important by increasing the use of electric vehicles (EVs). These parking lots not only can be seen as high electrical power consumption loads which can cause the voltage drop at feeders but also they can be used as electrical power plants that can help the main power grid during the load peak hour or any congestion. Therefore, finding an optimum place for the building of these lots, in which the deviation of the voltage at the feeder, power loss in the grid, and cost be minimized, is essential. In this paper, a new method of vehicle-to-grid reactive power support (V2GQ) has been used to add the model of plug-in electric vehicle (PEV) as one part of the objective function to find the optimum place of parking lots. The non-sorting genetic algorithm II (NSGA2) is used here as an optimization algorithm to find the optimum voltage profile based on the location of parking lots. For validation of the purposed method, a 33-bus standard distribution network has been studied.",2019-01-29T20:44:02Z,2019-01-29T20:44:02Z,http://arxiv.org/abs/1901.10533v1,http://arxiv.org/pdf/1901.10533v1,eess.SP
