title,authors,summary,published,updated,link,pdf_url,categories
Artificial intelligence-aided protein engineering: from topological data   analysis to deep protein language models,"Yuchi Qiu, Guo-Wei Wei","Protein engineering is an emerging field in biotechnology that has the potential to revolutionize various areas, such as antibody design, drug discovery, food security, ecology, and more. However, the mutational space involved is too vast to be handled through experimental means alone. Leveraging accumulative protein databases, machine learning (ML) models, particularly those based on natural language processing (NLP), have considerably expedited protein engineering. Moreover, advances in topological data analysis (TDA) and artificial intelligence-based protein structure prediction, such as AlphaFold2, have made more powerful structure-based ML-assisted protein engineering strategies possible. This review aims to offer a comprehensive, systematic, and indispensable set of methodological components, including TDA and NLP, for protein engineering and to facilitate their future development.",2023-07-27T02:14:09Z,2023-07-27T02:14:09Z,http://arxiv.org/abs/2307.14587v1,http://arxiv.org/pdf/2307.14587v1,q-bio.BM
Validation of an LLM-based Multi-Agent Framework for Protein Engineering   in Dry Lab and Wet Lab,"Zan Chen, Yungeng Liu, Yu Guang Wang, Yiqing Shen","Recent advancements in Large Language Models (LLMs) have enhanced efficiency across various domains, including protein engineering, where they offer promising opportunities for dry lab and wet lab experiment workflow automation. Previous work, namely TourSynbio-Agent, integrates a protein-specialized multimodal LLM (i.e. TourSynbio-7B) with domain-specific deep learning (DL) models to streamline both computational and experimental protein engineering tasks. While initial validation demonstrated TourSynbio-7B's fundamental protein property understanding, the practical effectiveness of the complete TourSynbio-Agent framework in real-world applications remained unexplored. This study presents a comprehensive validation of TourSynbio-Agent through five diverse case studies spanning both computational (dry lab) and experimental (wet lab) protein engineering. In three computational case studies, we evaluate the TourSynbio-Agent's capabilities in mutation prediction, protein folding, and protein design. Additionally, two wet-lab validations demonstrate TourSynbio-Agent's practical utility: engineering P450 proteins with up to 70% improved selectivity for steroid 19-hydroxylation, and developing reductases with 3.7x enhanced catalytic efficiency for alcohol conversion. Our findings from the five case studies establish that TourSynbio-Agent can effectively automate complex protein engineering workflows through an intuitive conversational interface, potentially accelerating scientific discovery in protein engineering.",2024-11-09T01:14:41Z,2024-11-09T01:14:41Z,http://arxiv.org/abs/2411.06029v1,http://arxiv.org/pdf/2411.06029v1,q-bio.QM
Remaining Useful Life Prediction for Aircraft Engines using LSTM,"Anees Peringal, Mohammed Basheer Mohiuddin, Ahmed Hassan","This study uses a Long Short-Term Memory (LSTM) network to predict the remaining useful life (RUL) of jet engines from time-series data, crucial for aircraft maintenance and safety. The LSTM model's performance is compared with a Multilayer Perceptron (MLP) on the C-MAPSS dataset from NASA, which contains jet engine run-to-failure events. The LSTM learns from temporal sequences of sensor data, while the MLP learns from static data snapshots. The LSTM model consistently outperforms the MLP in prediction accuracy, demonstrating its superior ability to capture temporal dependencies in jet engine degradation patterns. The software for this project is in https://github.com/AneesPeringal/rul-prediction.git.",2024-01-15T10:54:08Z,2024-01-15T10:54:08Z,http://arxiv.org/abs/2401.07590v1,http://arxiv.org/pdf/2401.07590v1,eess.SP
The spatial dynamics of ecosystem engineers,"Caroline Franco, José F. Fontanari","The changes on abiotic features of ecosystems have rarely been taken into account by population dynamics models, which typically focus on trophic and competitive interactions between species. However, understanding the population dynamics of organisms that must modify their habitats in order to survive, the so-called ecosystem engineers, requires the explicit incorporation of abiotic interactions in the models. Here we study a model of ecosystem engineers that is discrete both in space and time, and where the engineers and their habitats are arranged in patches fixed to the sites of regular lattices. The growth of the engineer population is modeled by Ricker equation with a density-dependent carrying capacity that is given by the number of modified habitats. A diffusive dispersal stage ensures that a fraction of the engineers move from their birth patches to neighboring patches. We find that dispersal influences the metapopulation dynamics only in the case that the local or single-patch dynamics exhibits chaotic behavior. In that case, it can suppress the chaotic behavior and avoid extinctions in the regime of large intrinsic growth rate of the population.",2016-11-28T18:52:36Z,2017-08-10T23:58:45Z,http://arxiv.org/abs/1611.09283v3,http://arxiv.org/pdf/1611.09283v3,q-bio.PE
AutoProteinEngine: A Large Language Model Driven Agent Framework for   Multimodal AutoML in Protein Engineering,"Yungeng Liu, Zan Chen, Yu Guang Wang, Yiqing Shen","Protein engineering is important for biomedical applications, but conventional approaches are often inefficient and resource-intensive. While deep learning (DL) models have shown promise, their training or implementation into protein engineering remains challenging for biologists without specialized computational expertise. To address this gap, we propose AutoProteinEngine (AutoPE), an agent framework that leverages large language models (LLMs) for multimodal automated machine learning (AutoML) for protein engineering. AutoPE innovatively allows biologists without DL backgrounds to interact with DL models using natural language, lowering the entry barrier for protein engineering tasks. Our AutoPE uniquely integrates LLMs with AutoML to handle model selection for both protein sequence and graph modalities, automatic hyperparameter optimization, and automated data retrieval from protein databases. We evaluated AutoPE through two real-world protein engineering tasks, demonstrating substantial performance improvements compared to traditional zero-shot and manual fine-tuning approaches. By bridging the gap between DL and biologists' domain expertise, AutoPE empowers researchers to leverage DL without extensive programming knowledge. Our code is available at https://github.com/tsynbio/AutoPE.",2024-11-07T05:23:31Z,2024-11-07T05:23:31Z,http://arxiv.org/abs/2411.04440v1,http://arxiv.org/pdf/2411.04440v1,q-bio.QM
Organizing genome engineering for the gigabase scale,"Bryan A. Bartley, Jacob Beal, Jonathan R. Karr, Elizabeth A. Strychalski","Engineering the entire genome of an organism enables large-scale changes in organization, function, and external interactions, with significant implications for industry, medicine, and the environment. Improvements to DNA synthesis and organism engineering are already enabling substantial changes to organisms with megabase genomes, such as Escherichia coli and Saccharomyces cerevisiae. Simultaneously, recent advances in genome-scale modeling are increasingly informing the design of metabolic networks. However, major challenges remain for integrating these and other relevant technologies into workflows that can scale to the engineering of gigabase genomes.   In particular, we find that a major under-recognized challenge is coordinating the flow of models, designs, constructs, and measurements across the large teams and complex technological systems that will likely be required for gigabase genome engineering. We recommend that the community address these challenges by 1) adopting and extending existing standards and technologies for representing and exchanging information at the gigabase genomic scale, 2) developing new technologies to address major open questions around data curation and quality control, 3) conducting fundamental research on the integration of modeling and design at the genomic scale, and 4) developing new legal and contractual infrastructure to better enable collaboration across multiple institutions.",2019-09-03T22:04:34Z,2019-09-03T22:04:34Z,http://arxiv.org/abs/1909.01468v1,http://arxiv.org/pdf/1909.01468v1,q-bio.GN
Correctness of Backtest Engines,"Robert Löw, Stanislaus Maier-Paape, Andreas Platen","In recent years several trading platforms appeared which provide a backtest engine to calculate historic performance of self designed trading strategies on underlying candle data. The construction of a correct working backtest engine is, however, a subtle task as shown by Maier-Paape and Platen (cf. arXiv:1412.5558 [q-fin.TR]). Several platforms are struggling on the correctness.   In this work, we discuss the problem how the correctness of backtest engines can be verified. We provide models for candles and for intra-period prices which will be applied to conduct a proof of correctness for a given backtest engine if the here provided tests on specific model candles are successful. Furthermore, we hint to algorithmic considerations in order to allow for a fast implementation of these tests necessary for the proof of correctness.",2015-09-28T09:30:12Z,2015-09-28T09:30:12Z,http://arxiv.org/abs/1509.08248v1,http://arxiv.org/pdf/1509.08248v1,"q-fin.TR, q-fin.CP"
New Security Challenges on Machine Learning Inference Engine: Chip   Cloning and Model Reverse Engineering,"Shanshi Huang, Xiaochen Peng, Hongwu Jiang, Yandong Luo, Shimeng Yu","Machine learning inference engine is of great interest to smart edge computing. Compute-in-memory (CIM) architecture has shown significant improvements in throughput and energy efficiency for hardware acceleration. Emerging non-volatile memory technologies offer great potential for instant on and off by dynamic power gating. Inference engine is typically pre-trained by the cloud and then being deployed to the filed. There are new attack models on chip cloning and neural network model reverse engineering. In this paper, we propose countermeasures to the weight cloning and input-output pair attacks. The first strategy is the weight fine-tune to compensate the analog-to-digital converter (ADC) offset for a specific chip instance while inducing significant accuracy drop for cloned chip instances. The second strategy is the weight shuffle and fake rows insertion to allow accurate propagation of the activations of the neural network only with a key.",2020-03-21T19:58:14Z,2020-03-21T19:58:14Z,http://arxiv.org/abs/2003.09739v1,http://arxiv.org/pdf/2003.09739v1,eess.SP
Microfluidic cell engineering on high-density microelectrode arrays for   assessing structure-function relationships in living neuronal networks,"Yuya Sato, Hideaki Yamamoto, Hideyuki Kato, Takashi Tanii, Shigeo Sato, Ayumi Hirano-Iwata","Neuronal networks in dissociated culture combined with cell engineering technology offer a pivotal platform to constructively explore the relationship between structure and function in living neuronal networks. Here, we fabricated defined neuronal networks possessing a modular architecture on high-density microelectrode arrays (HD-MEAs), a state-of-the-art electrophysiological tool for recording neural activity with high spatial and temporal resolutions. We first established a surface coating protocol using a cell-permissive hydrogel to stably attach polydimethylsiloxane microfluidic film on the HD-MEA. We then recorded the spontaneous neural activity of the engineered neuronal network, which revealed an important portrait of the engineered neuronal network--modular architecture enhances functional complexity by reducing the excessive neural correlation between spatially segregated modules. The results of this study highlight the impact of HD-MEA recordings combined with cell engineering technologies as a novel tool in neuroscience to constructively assess the structure-function relationships in neuronal networks.",2022-05-09T14:43:08Z,2022-05-11T11:31:37Z,http://arxiv.org/abs/2205.04342v2,http://arxiv.org/pdf/2205.04342v2,q-bio.NC
Bacterial self-organisation and computation,"Martyn Amos, David A. Hodgson, Alan Gibbons","In this article we highlight chemotaxis (cellular movement) as a rich source of potential engineering applications and computational models, highlighting current research and possible future work. We first give a brief description of the biological mechanism, before describing recent work on modelling it in silico. We then propose a methodology for extending existing models and their possible application as a fundamental tool in engineering cellular pattern formation. We discuss possible engineering applications of human-defined cell patterns, as well as the potential for using abstract models of chemotaxis for generalised computation, before concluding with a brief discussion of future challenges and opportunities in this field.",2005-12-08T11:28:46Z,2005-12-08T11:28:46Z,http://arxiv.org/abs/q-bio/0512017v1,http://arxiv.org/pdf/q-bio/0512017v1,q-bio.CB
Chapter 9 TISSUE ENGINEERING,"S. Sircar, J. N. Majumdar","Tissue Engineering (TE) is an interdisciplinary field dealing with the principles of engineering and life sciences toward the development of biological substitutes that restore, maintain, or improve tissue function or a whole organ. Currently, TE is emerging as an invaluable field of study and is one of the most promising fields for the next century. The ultimate goal is to develop powerful new therapies for biological substitutes - that will successfully restore the structural and functional disorders of human and animal system.",2015-01-20T22:33:41Z,2015-01-20T22:33:41Z,http://arxiv.org/abs/1501.05006v1,http://arxiv.org/pdf/1501.05006v1,q-bio.TO
Energy-based Modelling of the Feedback Control of Biomolecular Systems   with Cyclic Flow Modulation,Peter J Gawthrop,"Energy-based modelling brings engineering insight to the understanding of biomolecular systems. It is shown how well-established control engineering concepts, such as loop-gain, arise from energy feedback loops and are therefore amenable to control engineering insight. In particular, a novel method is introduced to allow the transfer function based approach of classical linear control to be utilised in the analysis of feedback systems modelled by network thermodynamics and thus amalgamate energy-based modelling with control systems analysis. The approach is illustrated using a class of metabolic cycles with activation and inhibition leading the concept of Cyclic Flow Modulation.",2020-07-29T12:00:21Z,2021-01-28T11:04:30Z,http://arxiv.org/abs/2007.14762v3,http://arxiv.org/pdf/2007.14762v3,q-bio.MN
