title,authors,summary,published,updated,link,pdf_url,categories
Snapshot multispectral imaging using a filter array,Kazuma Shinoda,"A multispectral filter array (MSFA) is one solution for capturing a multispectral image (MSI) in a single shot at low cost. We introduce our optimization method of the spectral sensitivity of the MSFAs and demosaicking, and show a new prototype filter array for snapshot imaging based on a photonic crystal.",2018-08-28T04:04:47Z,2018-08-28T04:04:47Z,http://arxiv.org/abs/1808.09106v1,http://arxiv.org/pdf/1808.09106v1,eess.IV
A Self-supervised SAR Image Despeckling Strategy Based on   Parameter-sharing Convolutional Neural Networks,"Liang Chen, Yifei Yin, Hao Shi, Qingqing Sheng, Wei Li","Speckle noise is generated due to the SAR imaging mechanism, which brings difficulties in SAR image interpretation. Hence, despeckling is a helpful step in SAR pre-processing. Nowadays, deep learning has been proved to be a progressive method for SAR image despeckling. Most deep learning methods for despeckling are based on supervised learning, which needs original SAR images and speckle-free SAR images to train the network. However, the speckle-free SAR images are generally not available. So, this issue was tackled by adding multiplicative noise to optical images synthetically for simulating speckled image. Therefore, there are following challenges in SAR image despeckling: (1) lack of speckle-free SAR image; (2) difficulty in keeping details such as edges and textures in heterogeneous areas. To address these issues, we propose a self-supervised SAR despeckling strategy that can be trained without speckle-free images. Firstly, the feasibility of SAR image despeckling without speckle-free images is proved theoretically. Then, the sub-sampler based on the adjacent-syntropy criteria is proposed. The training image pairs are generated by the sub-sampler from real-word SAR image to estimate the noise distribution. Furthermore, to make full use of training pairs, the parameter sharing convolutional neural networks are adopted. Finally, according to the characteristics of SAR images, a multi-feature loss function is proposed. The proposed loss function is composed of despeckling term, regular term and perception term, to constrain the gap between the generated paired images. The ability of edge and texture feature preserving is improved simultaneously. Finally, qualitative and quantitative experiments are validated on real-world SAR images, showing better performances than several advanced SAR image despeckling methods.",2023-08-11T07:19:45Z,2023-08-11T07:19:45Z,http://arxiv.org/abs/2308.05975v1,http://arxiv.org/pdf/2308.05975v1,eess.IV
Introduction to Brain and Medical Images,Moo K. Chung,"This article is based on the first chapter of book Chung (2013), where brain and medical images are introduced. The most widely used brain imaging modalities are magnetic resonance images (MRI), functional-MRI (fMRI) and diffusion tensor images (DTI). A brief introduction to each imaging modality is explained. Further, we explain what kind of curve, volume and surface data that can be extracted from each modality.",2021-03-09T23:08:16Z,2021-03-09T23:08:16Z,http://arxiv.org/abs/2103.05772v1,http://arxiv.org/pdf/2103.05772v1,eess.IV
Studying the Effect of Digital Stain Separation of Histopathology Images   on Image Search Performance,"Alison K. Cheeseman, Hamid R. Tizhoosh, Edward R. Vrscay","Due to recent advances in technology, digitized histopathology images are now widely available for both clinical and research purposes. Accordingly, research into computerized image analysis algorithms for digital histopathology images has been progressing rapidly. In this work, we focus on image retrieval for digital histopathology images. Image retrieval algorithms can be used to find similar images and can assist pathologists in making quick and accurate diagnoses. Histopathology images are typically stained with dyes to highlight features of the tissue, and as such, an image analysis algorithm for histopathology should be able to process colour images and determine relevant information from the stain colours present. In this study, we are interested in the effect that stain separation into their individual stain components has on image search performance. To this end, we implement a basic k-nearest neighbours (kNN) search algorithm on histopathology images from two publicly available data sets (IDC and BreakHis) which are: a) converted to greyscale, b) digitally stain-separated and c) the original RGB colour images. The results of this study show that using H\&E separated images yields search accuracies within one or two percent of those obtained with original RGB images, and that superior performance is observed using the H\&E images in most scenarios we tested.",2020-03-31T15:41:36Z,2020-03-31T15:41:36Z,http://arxiv.org/abs/2003.14303v1,http://arxiv.org/pdf/2003.14303v1,eess.IV
A psychophysical evaluation of techniques for Mooney image generation,"Lars C. Reining, Thomas S. A. Wallis","Mooney images can contribute to our understanding of the processes involved in visual perception, because they allow a dissociation between image content and image understanding. Mooney images are generated by first smoothing and subsequently thresholding an image. In most previous studies this was performed manually, using subjective criteria for generation. This manual process could eventually be avoided by using automatic generation techniques. The field of computer image processing offers numerous techniques for image thresholding, but these are only rarely used to create Mooney images. Furthermore, there is little research on the perceptual effects of smoothing and thresholding. Therefore, in this study we investigated how the choice of different thresholding techniques and amount of smoothing affects the interpretability of Mooney images for human participants. We generated Mooney images using four different thresholding techniques and, in a second experiment, parametrically varied the level of smoothing. Participants identified the concepts shown in Mooney images and rated their interpretability. Although the techniques generate physically-different Mooney images, identification performance and subjective ratings were similar across the different techniques. This indicates that finding the perfect threshold in the process of generating Mooney images is not critical for Mooney image interpretability, at least for globally-applied thresholds. The degree of smoothing applied before thresholding, on the other hand, requires more tuning depending on the noise of the original image and the desired interpretability of the resulting Mooney image. Future work in automatic Mooney image generation should pursue local thresholding techniques, where different thresholds are applied to image regions depending on the local image content.",2024-03-18T15:20:57Z,2024-03-18T15:20:57Z,http://arxiv.org/abs/2403.11867v1,http://arxiv.org/pdf/2403.11867v1,q-bio.NC
XNAT-PIC: Extending XNAT to Preclinical Imaging Centers,"Sara Zullino, Alessandro Paglialonga, Walter Dastrù, Dario Livio Longo, Silvio Aime","Molecular imaging generates large volumes of heterogeneous biomedical imagery with an impelling need of guidelines for handling image data. Although several successful solutions have been implemented for human epidemiologic studies, few and limited approaches have been proposed for animal population studies. Preclinical imaging research deals with a variety of machinery yielding tons of raw data but the current practices to store and distribute image data are inadequate. Therefore, standard tools for the analysis of large image datasets need to be established. In this paper, we present an extension of XNAT for Preclinical Imaging Centers (XNAT-PIC). XNAT is a worldwide used, open-source platform for securely hosting, sharing, and processing of clinical imaging studies. Despite its success, neither tools for importing large, multimodal preclinical image datasets nor pipelines for processing whole imaging studies are yet available in XNAT. In order to overcome these limitations, we have developed several tools to expand the XNAT core functionalities for supporting preclinical imaging facilities. Our aim is to streamline the management and exchange of image data within the preclinical imaging community, thereby enhancing the reproducibility of the results of image processing and promoting open science practices.",2021-02-23T17:15:27Z,2021-02-23T17:15:27Z,http://arxiv.org/abs/2103.02044v1,http://arxiv.org/pdf/2103.02044v1,"q-bio.QM, eess.IV"
An Image Identification Scheme of Encrypted JPEG Images for   Privacy-Preserving Photo Sharing Services,"Kenta Iida, Hitoshi Kiya","We propose an image identification scheme for double-compressed encrypted JPEG images that aims to identify encrypted JPEG images that are generated from an original JPEG image. To store images without any visual sensitive information on photo sharing services, encrypted JPEG images are generated by using a block-scrambling-based encryption method that has been proposed for Encryption-then-Compression systems with JPEG compression. In addition, feature vectors robust against JPEG compression are extracted from encrypted JPEG images. The use of the image encryption and feature vectors allows us to identify encrypted images recompressed multiple times. Moreover, the proposed scheme is designed to identify images re-encrypted with different keys. The results of a simulation show that the identification performance of the scheme is high even when images are recompressed and re-encrypted.",2019-05-08T12:18:07Z,2019-05-19T07:27:45Z,http://arxiv.org/abs/1905.03025v2,http://arxiv.org/pdf/1905.03025v2,eess.IV
Deep Hyperspectral and Multispectral Image Fusion with Inter-image   Variability,"Xiuheng Wang, Ricardo Augusto Borsoi, Cédric Richard, Jie Chen","Hyperspectral and multispectral image fusion allows us to overcome the hardware limitations of hyperspectral imaging systems inherent to their lower spatial resolution. Nevertheless, existing algorithms usually fail to consider realistic image acquisition conditions. This paper presents a general imaging model that considers inter-image variability of data from heterogeneous sources and flexible image priors. The fusion problem is stated as an optimization problem in the maximum a posteriori framework. We introduce an original image fusion method that, on the one hand, solves the optimization problem accounting for inter-image variability with an iteratively reweighted scheme and, on the other hand, that leverages light-weight CNN-based networks to learn realistic image priors from data. In addition, we propose a zero-shot strategy to directly learn the image-specific prior of the latent images in an unsupervised manner. The performance of the algorithm is illustrated with real data subject to inter-image variability.",2022-08-24T08:53:38Z,2023-04-11T09:29:09Z,http://arxiv.org/abs/2208.11376v2,http://arxiv.org/pdf/2208.11376v2,eess.IV
Copy-Paste Image Augmentation with Poisson Image Editing for Ultrasound   Instance Segmentation Learning,"Wei-Hsiang Shen, Meng-Lin Li","Deep learning has shown great success in high-level image analysis problems; yet its efficacy relies on the quality and diversity of the training data. In this work, we introduce a copypaste image augmentation for ultrasound images. The Poisson image editing technique is used to generate realistic and seamless boundary transitions around the pasted image. Results showed that the proposed image augmentation technique improves training performance in terms of higher objective metrics and more stable training results.",2023-08-28T09:38:45Z,2023-08-28T09:38:45Z,http://arxiv.org/abs/2308.14772v1,http://arxiv.org/pdf/2308.14772v1,eess.IV
MarsQE: Semantic-Informed Quality Enhancement for Compressed Martian   Image,"Chengfeng Liu, Mai Xu, Qunliang Xing, Xin Zou","Lossy image compression is essential for Mars exploration missions, due to the limited bandwidth between Earth and Mars. However, the compression may introduce visual artifacts that complicate the geological analysis of the Martian surface. Existing quality enhancement approaches, primarily designed for Earth images, fall short for Martian images due to a lack of consideration for the unique Martian semantics. In response to this challenge, we conduct an in-depth analysis of Martian images, yielding two key insights based on semantics: the presence of texture similarities and the compact nature of texture representations in Martian images. Inspired by these findings, we introduce MarsQE, an innovative, semantic-informed, two-phase quality enhancement approach specifically designed for Martian images. The first phase involves the semantic-based matching of texture-similar reference images, and the second phase enhances image quality by transferring texture patterns from these reference images to the compressed image. We also develop a post-enhancement network to further reduce compression artifacts and achieve superior compression quality. Our extensive experiments demonstrate that MarsQE significantly outperforms existing approaches for Earth images, establishing a new benchmark for the quality enhancement on Martian images.",2024-04-15T03:14:20Z,2024-04-15T03:14:20Z,http://arxiv.org/abs/2404.09433v1,http://arxiv.org/pdf/2404.09433v1,eess.IV
