title,authors,summary,published,updated,link,pdf_url,categories
Is Physics Sick? [In Praise of Classical Physics],Hisham Ghassib,"In this paper, it is argued that theoretical physics is more akin to an organism than to a rigid structure.It is in this sense that the epithet, ""sick"", applies to it. It is argued that classical physics is a model of a healthy science, and the degree of sickness of modern physics is measured accordingly. The malady is located in the relationship between mathematics and physical meaning in physical theory.",2012-09-04T10:32:56Z,2012-09-04T10:32:56Z,http://arxiv.org/abs/1209.0592v1,http://arxiv.org/pdf/1209.0592v1,"physics.gen-ph, physics.hist-ph"
Modern Mathematical Physics: what it should be?,Ludwig Faddeev,Personal view of author on goals and content of Mathematical Physics.,2000-02-08T13:13:00Z,2000-02-10T10:14:56Z,http://arxiv.org/abs/math-ph/0002018v2,http://arxiv.org/pdf/math-ph/0002018v2,"math-ph, hep-th, math.MP"
Topology in Physics,R. Jackiw,The phenomenon of quantum number fractionalization is explained. The relevance of non-trivial phonon field topology is emphasized.,2005-03-15T16:00:59Z,2005-03-15T16:00:59Z,http://arxiv.org/abs/math-ph/0503039v1,http://arxiv.org/pdf/math-ph/0503039v1,"math-ph, cond-mat.mes-hall, math.MP, physics.class-ph"
Contents of Physics Related E-Print Archives,"E. R. Prakasan, Anil Kumar, Anil Sagar, Lalit Mohan, Sanjay Kumar Singh, V. L. Kalyane, Vijai Kumar","The frontiers of physics related e-print archives (1994-2002) at http://www.arxiv.org/archives/physics web service are explored from 7770 submissions. No. of e-prints in the six research disciplines besides physics (5390) were: Condensed matter(754), Quantum physics(279), Astrophysics(222), Chemical physics(129), High energy physics Phenomenology(118), and High energy physics-Theory(100)). By keyword contents following major sub-fields have high frequency: Atomic physics(1258), General physics(1121), Chemical physics(892), Accelerator physics(769), Optics(686), Biological physics(674), and Computational physics(607). Interdomainary co-word cluster analysis revealed higher e-print contents for: Classical physics-General physics(108), Quantum physics-Optics(53), and High energy physics (Phenomenology)Atomic physics(49). Prominent contributors were B. G. Sidharth (India), V. V. Flambaum (Australia), Antonina N. Fedorova (Russia), and Michael G. Zeitlin (Russia).",2003-08-28T13:12:57Z,2003-08-28T13:12:57Z,http://arxiv.org/abs/physics/0308107v1,http://arxiv.org/pdf/physics/0308107v1,physics.data-an
Fundamental Dilemmas in Theoretical Physics,Hisham Ghassib,"In this paper, we argue that there are foundational dilemmas in theoretical physics related to the concept of reality and the nature of mathematics in physics. Physical theory is treated as a conceptual organism which develops under the weight of its internal contradictions. The paper discusses in depth the problem of objective reality in physics and its relation to scientific practice. Then, it explores the problematic relation between physical meaning and mathematics in modern physical theory, followed by a discussion of the trend of contemporary physics to replace physical principles with pure mathematical principles. Finally, it discusses the problem of logical coherence in modern physical theory. The paper emphasizes the importance of resolving these dilemmas to the proper practice of theoretical physics.",2014-05-22T07:49:09Z,2014-05-22T07:49:09Z,http://arxiv.org/abs/1405.5530v1,http://arxiv.org/pdf/1405.5530v1,physics.hist-ph
Physics of Heavy Quarks,Kacper Zalewski,Selected problems in heavy quark physics are discussed. The wealth of research problems in this field of physics is stressed.,1995-12-01T14:58:00Z,1995-12-01T14:58:00Z,http://arxiv.org/abs/hep-ph/9512205v1,http://arxiv.org/pdf/hep-ph/9512205v1,hep-ph
Linear collider prospects on electroweak physics,M. Muhlleitner,"Prospects on electroweak physics at a future International Linear Collider (ILC) are summarized, including gauge coupling measurements, top quark physics and Higgs physics.",2004-11-04T11:27:00Z,2004-11-04T11:27:00Z,http://arxiv.org/abs/hep-ph/0411059v1,http://arxiv.org/pdf/hep-ph/0411059v1,hep-ph
Topological Aspects of Gauge Theories,R. Jackiw,"To appear in Encyclopedia of Mathematical Physics, published by Elsevier in early 2006. Comments/corrections welcome. The article surveys topological aspects in gauge theories.",2005-01-21T19:48:39Z,2005-01-21T19:48:39Z,http://arxiv.org/abs/hep-th/0501178v1,http://arxiv.org/pdf/hep-th/0501178v1,"hep-th, math-ph, math.MP, physics.class-ph"
p-Adic Mathematical Physics,"B. Dragovich, A. Yu. Khrennikov, S. V. Kozyrev, I. V. Volovich",A brief review of some selected topics in p-adic mathematical physics is presented.,2009-04-27T19:26:27Z,2009-04-27T19:26:27Z,http://arxiv.org/abs/0904.4205v1,http://arxiv.org/pdf/0904.4205v1,"math-ph, gr-qc, hep-th, math.MP, quant-ph"
Invariances in Physics and Group Theory,Jean-Bernard Zuber,This is a short review of the heritage of Klein's Erlangen program in modern physics.,2013-07-15T14:46:18Z,2013-07-15T14:46:18Z,http://arxiv.org/abs/1307.3970v1,http://arxiv.org/pdf/1307.3970v1,"hep-th, math-ph, math.MP"
Physics in a diverse world or A Spherical Cow Model of Physics Talent,Howard Georgi,"Talk at the KITP Conference: Snowmass Theory Frontier - Feb. 23, 2022",2022-03-16T11:56:53Z,2022-03-16T11:56:53Z,http://arxiv.org/abs/2203.09485v1,http://arxiv.org/pdf/2203.09485v1,"physics.ed-ph, hep-ph, hep-th, physics.soc-ph"
The Quest for Understanding in Relativistic Quantum Physics,"Detlev Buchholz, Rudolf Haag",We discuss the status and some perspectives of relativistic quantum physics.,1999-10-29T15:26:52Z,1999-11-26T14:04:49Z,http://arxiv.org/abs/hep-th/9910243v2,http://arxiv.org/pdf/hep-th/9910243v2,"hep-th, hep-ph, math-ph, math.MP, quant-ph"
Physical structures. Forming physical fields and manifolds. (Properties   of skew-symmetric differential forms),L. I. Petrova,"It is shown that physical fields are formed by physical structures, which in their properties are differential-geometrical structures.   These results have been obtained due to using the mathematical apparatus of skew-symmetric differential forms.   This apparatus discloses the controlling role of the conservation laws in evolutionary processes, which proceed in material media and lead to origination of physical structures and forming physical fields and manifolds.",2004-04-20T08:01:50Z,2004-04-20T08:01:50Z,http://arxiv.org/abs/math-ph/0404046v1,http://arxiv.org/pdf/math-ph/0404046v1,"math-ph, math.MP, LaTeX2e"
Quantum gloves: Physics and Information,N. Gisin,"The slogan information is physical has been so successful that it led to some excess. Classical and quantum information can be thought of independently of any physical implementation. Pure information tasks can be realized using such abstract c- and qu-bits, but physical tasks require appropriate physical realizations of c- or qu-bits. As illustration we consider the problem of communicating chirality.",2004-08-14T08:24:51Z,2004-08-14T08:24:51Z,http://arxiv.org/abs/quant-ph/0408095v1,http://arxiv.org/pdf/quant-ph/0408095v1,quant-ph
B Physics (Experiment),Michal Kreps,In past few years the flavor physics made important transition from the work on confirmation the standard model of particle physics to the phase of search for effects of a new physics beyond standard model. In this paper we review current state of the physics of b-hadrons with emphasis on results with a sensitivity to new physics.,2010-08-02T07:56:30Z,2010-08-13T08:44:33Z,http://arxiv.org/abs/1008.0247v2,http://arxiv.org/pdf/1008.0247v2,hep-ex
Can classical physics agree with quantum physics on quantum phenomena?,Michele Marrocco,"Classical physics fails where quantum physics prevails. This common understanding applies to quantum phenomena that are acknowledged to be beyond the reach of classical physics. Here, we make an attempt at weakening this solid belief that classical physics is unfit to explain the quantum world. The trial run is the quantization of the free radiation field that will be addressed by following a strategy that is free from operators or quantum-mechanical concepts",2015-04-13T15:04:26Z,2015-04-13T15:04:26Z,http://arxiv.org/abs/1504.03207v1,http://arxiv.org/pdf/1504.03207v1,"physics.class-ph, quant-ph"
"Space, matter and topology",Manuel Asorey,"An old branch of mathematics, Topology, has opened the road to the discovery of new phases of matter. A hidden topology in the energy spectrum is the key for novel conducting/insulating properties of topological matter.",2016-07-03T18:43:51Z,2016-07-03T18:43:51Z,http://arxiv.org/abs/1607.00666v1,http://arxiv.org/pdf/1607.00666v1,"cond-mat.mes-hall, hep-th, math-ph, math.MP, physics.pop-ph, quant-ph"
