title,authors,summary,published,updated,link,pdf_url,categories
Process Comparison Using Object-Centric Process Cubes,"Anahita Farhang Ghahfarokhi, Alessandro Berti, Wil M. P. van der Aalst","Process mining provides ways to analyze business processes. Common process mining techniques consider the process as a whole. However, in real-life business processes, different behaviors exist that make the overall process too complex to interpret. Process comparison is a branch of process mining that isolates different behaviors of the process from each other by using process cubes. Process cubes organize event data using different dimensions. Each cell contains a set of events that can be used as an input to apply process mining techniques. Existing work on process cubes assume single case notions. However, in real processes, several case notions (e.g., order, item, package, etc.) are intertwined. Object-centric process mining is a new branch of process mining addressing multiple case notions in a process. To make a bridge between object-centric process mining and process comparison, we propose a process cube framework, which supports process cube operations such as slice and dice on object-centric event logs. To facilitate the comparison, the framework is integrated with several object-centric process discovery approaches.",2021-03-12T10:08:28Z,2021-03-12T10:08:28Z,http://arxiv.org/abs/2103.07184v1,http://arxiv.org/pdf/2103.07184v1,"cs.DB, cs.AI, cs.LG"
Integral Equations in the Theory of Levy Processes,Lev Sakhnovich,"In this article we consider the Levy processes and the corresponding semigroup. We represent the generator of this semigroup in a convolution form. Using the obtained convolution form and the theory of integral equations we investigate the properties of a wide class of Levy processes (potential, quasi-potential, the probability of the Levy process remaining within the given domain, long time behavior, stable processes). We analyze in detail a number of concrete examples of the Levy processes (stable processes, the variance damped Levy processes, the variance gamma processes, the normal Gaussian process, the Meixner process, the compound Poisson process).",2007-02-13T16:47:20Z,2007-02-13T16:47:20Z,http://arxiv.org/abs/math/0702378v1,http://arxiv.org/pdf/math/0702378v1,"math.PR, math.FA, 60G51, 60J45, 60G17, 45A05"
Bi-Entangled Hidden Markov Processes and Recurrence,Soueidi El Gheteb,"In this paper, we introduce the notion of Bi-entangled hidden Markov processes. These are hidden quantum processes where the hidden processes themselves exhibit entangled Markov process, and the observable processes also exhibit entanglement. We present a specific formula for the joint expectation of these processes. Furthermore, we discuss the recurrence of the underlying quantum Markov processes associated to the Bi-entangled hidden Markov processes and we establish that, by restricting them within suitable commutative subalgebras (diagonal subalgebras) leads to the recovery of Markov processes defined by the hidden stochastic matrix. In this paper we only deal with processes with an at most countable state space.",2024-07-12T16:05:55Z,2024-07-12T16:05:55Z,http://arxiv.org/abs/2407.09384v1,http://arxiv.org/pdf/2407.09384v1,"quant-ph, math-ph, math.MP"
Remarks on the Poisson additive process,Haoming Wang,"The Poisson additive process is a binary conditionally additive process such that the first is the Poisson process provided the second is given. We prove the existence and uniqueness of predictable increasing mean intensity for the Poisson additive process. Besides, we establish a likelihood ratio formula for the Poisson additive process. It directly implies there doesn't exist an anticipative Poisson additive process which is absolutely continuous with respect to the standard Poisson process, which confirms a conjecture proposed by P. Br\'emaud in his PhD thesis in 1972. When applied to the Hawkes process, it concludes that the self-exciting function is constant. Similar results are also obtained for the Wiener additive process and Markov additive process.",2024-07-31T14:53:22Z,2024-08-14T14:44:04Z,http://arxiv.org/abs/2407.21651v2,http://arxiv.org/pdf/2407.21651v2,"math.PR, stat.AP, 60A05, 60G05, 60G55"
BPCE: A Prototype for Co-Evolution between Business Process Variants   through Configurable Process Model,"Linyue Liu, Xi Guo, Chun Ouyang, Patrick C. K. Hung, Hong-Yu Zhang, Keqing He, Chen Mo, Zaiwen Feng","With the continuous development of business process management technology, the increasing business process models are usually owned by large enterprises. In large enterprises, different stakeholders may modify the same business process model. In order to better manage the changeability of processes, they adopt configurable business process models to manage process variants. However, the process variants will vary with the change in enterprise business demands. Therefore, it is necessary to explore the co-evolution of the process variants so as to effectively manage the business process family. To this end, a novel framework for co-evolution between business process variants through a configurable process model is proposed in this work. First, the mapping relationship between process variants and configurable models is standardized in this study. A series of change operations and change propagation operations between process variants and configurable models are further defined for achieving propagation. Then, an overall algorithm is proposed for achieving co-evolution of process variants. Next, a prototype is developed for managing change synchronization between process variants and configurable process models. Finally, the effectiveness and efficiency of our proposed process change propagation method are verified based on experiments on two business process datasets. The experimental results show that our approach implements the co-evolution of process variants with high accuracy and efficiency.",2023-03-30T13:59:34Z,2023-03-30T13:59:34Z,http://arxiv.org/abs/2303.17388v1,http://arxiv.org/pdf/2303.17388v1,"cs.SE, 68N99, D.2.2"
A class of CTRWs: Compound fractional Poisson processes,Enrico Scalas,"This chapter is an attempt to present a mathematical theory of compound fractional Poisson processes. The chapter begins with the characterization of a well-known L\'evy process: The compound Poisson process. The semi-Markov extension of the compound Poisson process naturally leads to the compound fractional Poisson process, where the Poisson counting process is replaced by the Mittag-Leffler counting process also known as fractional Poisson process. This process is no longer Markovian and L\'evy. However, several analytical results are available and some of them are discussed here. The functional limit of the compound Poisson process is an $\alpha$-stable L\'evy process, whereas in the case of the compound fractional Poisson process, one gets an $\alpha$-stable L\'evy process subordinated to the fractional Poisson process.",2011-03-03T10:34:03Z,2011-03-03T10:34:03Z,http://arxiv.org/abs/1103.0647v1,http://arxiv.org/pdf/1103.0647v1,"math.PR, q-fin.ST, 60G50 (Primary) 60G55 (Secondary)"
Full characterization of the fractional Poisson process,"Mauro Politi, Taisei Kaizoji, Enrico Scalas","The fractional Poisson process (FPP) is a counting process with independent and identically distributed inter-event times following the Mittag-Leffler distribution. This process is very useful in several fields of applied and theoretical physics including models for anomalous diffusion. Contrary to the well-known Poisson process, the fractional Poisson process does not have stationary and independent increments. It is not a L\'evy process and it is not a Markov process. In this letter, we present formulae for its finite-dimensional distribution functions, fully characterizing the process. These exact analytical results are compared to Monte Carlo simulations.",2011-04-21T11:32:27Z,2011-04-21T11:32:27Z,http://arxiv.org/abs/1104.4234v1,http://arxiv.org/pdf/1104.4234v1,"math.PR, physics.data-an, q-fin.ST, 60G55, 60G50, 60G22"
The semi-Markov beta-Stacy process: a Bayesian non-parametric prior for   semi-Markov processes,"Andrea Arfè, Stefano Peluso, Pietro Muliere","The literature on Bayesian methods for the analysis of discrete-time semi-Markov processes is sparse. In this paper, we introduce the semi-Markov beta-Stacy process, a stochastic process useful for the Bayesian non-parametric analysis of semi-Markov processes. The semi-Markov beta-Stacy process is conjugate with respect to data generated by a semi-Markov process, a property which makes it easy to obtain probabilistic forecasts. Its predictive distributions are characterized by a reinforced random walk on a system of urns.",2018-12-01T20:36:54Z,2020-07-23T13:53:59Z,http://arxiv.org/abs/1812.00260v2,http://arxiv.org/pdf/1812.00260v2,"math.ST, stat.ME, stat.TH"
Gaussian and Sparse Processes Are Limits of Generalized Poisson   Processes,"Julien Fageot, Virginie Uhlmann, Michael Unser","The theory of sparse stochastic processes offers a broad class of statistical models to study signals. In this framework, signals are represented as realizations of random processes that are solution of linear stochastic differential equations driven by white L\'evy noises. Among these processes, generalized Poisson processes based on compound-Poisson noises admit an interpretation as random L-splines with random knots and weights. We demonstrate that every generalized L\'evy process-from Gaussian to sparse-can be understood as the limit in law of a sequence of generalized Poisson processes. This enables a new conceptual understanding of sparse processes and suggests simple algorithms for the numerical generation of such objects.",2017-02-16T14:57:26Z,2017-02-16T14:57:26Z,http://arxiv.org/abs/1702.05003v1,http://arxiv.org/pdf/1702.05003v1,"math.PR, cs.IT, math.IT"
Information geometry of tempered stable processes,Jaehyung Choi,"We find information geometry of tempered stable processes. Starting with the derivation of $\alpha$-divergence between two tempered stable processes, Fisher information matrices of tempered stable processes and $\alpha$-connections of their statistical manifolds are obtained. Additionally, we also provide statistical applications for the information geometry of tempered stable processes. Various tempered stable processes such as generalized tempered stable processes, classical tempered stable processes, and rapidly decreasing tempered stable processes are given as examples.",2025-02-17T17:07:06Z,2025-02-17T17:07:06Z,http://arxiv.org/abs/2502.12037v1,http://arxiv.org/pdf/2502.12037v1,"math.DG, cs.IT, math.IT, math.PR"
