title,authors,summary,published,updated,link,pdf_url,categories
The quantitative Morse theorem,"Ta Le Loi, Phan Phien","In this paper, we give a proof of the quantitative Morse theorem stated by {Y. Yomdin} in \cite{Y1}. The proof is based on the quantitative Sard theorem, the quantitative inverse function theorem and the quantitative Morse lemma.",2013-05-15T04:46:21Z,2013-05-15T04:46:21Z,http://arxiv.org/abs/1305.3352v1,http://arxiv.org/pdf/1305.3352v1,"math.NA, math.DG, Primary 58K05, Secondary 58E05, 97N40"
On a difference between quantitative weak sequential completeness and   the quantitative Schur property,"Ondřej F. K. Kalenda, Jiří Spurný","We study quantitative versions of the Schur property and weak sequential completeness, proceeding thus with investigations started by G. Godefroy, N. Kalton and D. Li and continued by H. Pfitzner and the authors. We show that the Schur property of $\ell_1$ holds quantitatively in the strongest possible way and construct an example of a Banach space which is quantitatively weakly sequentially complete, has the Schur property but fails the quantitative form of the Schur property.",2011-03-15T17:52:41Z,2011-04-06T16:15:25Z,http://arxiv.org/abs/1103.2975v2,http://arxiv.org/pdf/1103.2975v2,"math.FA, 46B20, 46B25"
Quantitative Paradigm of Software Reliability as Content Relevance,Yuri Arkhipkin,This paper presents a quantitative approach to software reliability and content relevance definitions validated by the systems' potential reliability law.Thus it is argued for the unified math nature or quantitative paradigm of software reliability and content relevance.,2008-07-01T05:29:07Z,2008-07-01T05:29:07Z,http://arxiv.org/abs/0807.0070v1,http://arxiv.org/pdf/0807.0070v1,"cs.SE, cs.IR, D.2.5; D.2.8; D.2.9; H.3.1; D.1.m"
Qlib: An AI-oriented Quantitative Investment Platform,"Xiao Yang, Weiqing Liu, Dong Zhou, Jiang Bian, Tie-Yan Liu","Quantitative investment aims to maximize the return and minimize the risk in a sequential trading period over a set of financial instruments. Recently, inspired by rapid development and great potential of AI technologies in generating remarkable innovation in quantitative investment, there has been increasing adoption of AI-driven workflow for quantitative research and practical investment. In the meantime of enriching the quantitative investment methodology, AI technologies have raised new challenges to the quantitative investment system. Particularly, the new learning paradigms for quantitative investment call for an infrastructure upgrade to accommodate the renovated workflow; moreover, the data-driven nature of AI technologies indeed indicates a requirement of the infrastructure with more powerful performance; additionally, there exist some unique challenges for applying AI technologies to solve different tasks in the financial scenarios. To address these challenges and bridge the gap between AI technologies and quantitative investment, we design and develop Qlib that aims to realize the potential, empower the research, and create the value of AI technologies in quantitative investment.",2020-09-22T12:57:10Z,2020-09-22T12:57:10Z,http://arxiv.org/abs/2009.11189v1,http://arxiv.org/pdf/2009.11189v1,"q-fin.GN, cs.LG, q-fin.PM"
"Quantitative Fractional Helly and $(p,q)$-Theorems","Attila Jung, Márton Naszódi","We consider quantitative versions of Helly-type questions, that is, instead of finding a point in the intersection, we bound the volume of the intersection. Our first main geometric result is a quantitative version of the Fractional Helly Theorem of Katchalski and Liu, the second one is a quantitative version of the $(p,q)$-Theorem of Alon and Kleitman.",2020-12-16T14:03:51Z,2021-01-22T15:04:06Z,http://arxiv.org/abs/2012.08964v2,http://arxiv.org/pdf/2012.08964v2,"math.MG, math.CO, 52A35, 52A38"
Quantitative Helly-type Theorems via Hypergraph Chains,Attila Jung,"We propose a combinatorial framework to analyze quantitative Helly-type questions. Using this framework, we prove a Quantitative Fractional Helly Theorem with Fractional Helly Number 3d and a stability version of the Quantitative Helly Theorem of B\'ar\'any, Katchalski, and Pach.",2023-03-15T20:56:08Z,2023-04-07T15:02:57Z,http://arxiv.org/abs/2303.08930v2,http://arxiv.org/pdf/2303.08930v2,"math.CO, math.MG, 52A35 (Primary) 52A38, 05C65 (Secondary)"
Quantitative strong unique continuation property for the Schrödinger   operator with unbounded potential,Mourad Choulli,"We revisit \cite[Theorem 6.3]{JK}. Following the main ideas used to prove this theorem, we establish a quantitative version of the strong unique continuation property for the Sch\""odinger operator with unbounded potential. We also show that a combination of this result with a global quantitative unique continuation property from an arbitrary interior data yields a global quantitative strong unique continuation.",2023-09-15T15:09:48Z,2023-09-15T15:09:48Z,http://arxiv.org/abs/2309.08651v1,http://arxiv.org/pdf/2309.08651v1,"math.AP, 35J10, 35B35"
Quantitative Stability Estimate of the Hardy-Littlewood Functional Under   Constraints,Hichem Hajaiej,We prove the uniqueness of the maximizers of a Hardy-Littlewood type functional under constraints. We also establish a quantitative stability estimate. Introduction,2009-03-16T18:28:03Z,2009-03-16T18:28:03Z,http://arxiv.org/abs/0903.2826v1,http://arxiv.org/pdf/0903.2826v1,"math.OC, 14J32"
On quantitative Schur and Dunford-Pettis properties,"Ondřej F. K. Kalenda, Jiří Spurný","We show that the dual to any subspace of $c_0(\Gamma)$ has the strongest possible quantitative version of the Schur property. Further, we establish relationship between the quantitative Schur property and quantitative versions of the Dunford-Pettis property. Finally, we apply these results to show, in particular, that any subspace of the space of compact operators on $\ell_p$ ($1<p<\infty$) with Dunford-Pettis property satisfies automatically both its quantitative versions.",2013-02-26T09:19:02Z,2013-09-12T08:46:22Z,http://arxiv.org/abs/1302.6369v2,http://arxiv.org/pdf/1302.6369v2,"math.FA, 46B25"
Quantitative Grothendieck Property,Hana Bendová,"A Banach space $X$ is Grothendieck if the weak and the weak$^*$ convergence of sequences in the dual space $X^*$ coincide. The space $\ell^\infty$ is a classical example of a Grothendieck space due to Grothendieck. We introduce a quantitative version of the Grothendieck property, we prove a quantitative version of the above-mentioned Grothendieck's result and we construct a Grothendieck space which is not quantitatively Grothendieck. We also establish the quantitative Grothendieck property of $L^\infty(\mu)$ for a $\sigma$-finite measure $\mu$.",2013-09-18T15:43:01Z,2013-09-18T15:43:01Z,http://arxiv.org/abs/1309.4684v1,http://arxiv.org/pdf/1309.4684v1,"math.FA, 46B26, 46B04, 46A20"
