title,authors,summary,published,updated,link,pdf_url,categories
Spectral remapping of natural signals,Md. Shoaibur Rahman,"Here we present an algorithm to procedurally remap spectral contents of natural signals. The algorithm takes in two inputs: a signal whose spectral component needs to be remapped and a warping or remapping function. The algorithm generates one output, which is a remapped version of the original signal. The input signal is remapped into the output signal in two steps. In the analysis step, the algorithm performs a series of operations to modify the spectral content, i.e., compute the warped phase of the signal according to the given remapping function. In the synthesis step, the modified spectral content is combined with the envelope information of the input signal to reconstruct the warped or remapped output signal.",2019-12-22T02:05:35Z,2019-12-22T02:05:35Z,http://arxiv.org/abs/1912.10371v1,http://arxiv.org/pdf/1912.10371v1,eess.SP
To further understand graph signals,"Feng Ji, Wee Peng Tay","Graph signal processing (GSP) is a framework to analyze and process graph-structured data. Many research works focus on developing tools such as Graph Fourier transforms (GFT), filters, and neural network models to handle graph signals. Such approaches have successfully taken care of ``signal processing'' in many circumstances. In this paper, we want to put emphasis on ``graph signals'' themselves. Although there are characterizations of graph signals using the notion of bandwidth derived from GFT, we want to argue here that graph signals may contain hidden geometric information of the network, independent of (graph) Fourier theories. We shall provide a framework to understand such information, and demonstrate how new knowledge on ``graph signals'' can help with ``signal processing''.",2022-03-02T02:52:15Z,2023-03-10T02:55:18Z,http://arxiv.org/abs/2203.00832v2,http://arxiv.org/pdf/2203.00832v2,eess.SP
Topological Signal Processing over Simplicial Complexes,"Sergio Barbarossa, Stefania Sardellitti","The goal of this paper is to establish the fundamental tools to analyze signals defined over a topological space, i.e. a set of points along with a set of neighborhood relations. This setup does not require the definition of a metric and then it is especially useful to deal with signals defined over non-metric spaces. We focus on signals defined over simplicial complexes. Graph Signal Processing (GSP) represents a special case of Topological Signal Processing (TSP), referring to the situation where the signals are associated only with the vertices of a graph. Even though the theory can be applied to signals of any order, we focus on signals defined over the edges of a graph and show how building a simplicial complex of order two, i.e. including triangles, yields benefits in the analysis of edge signals. After reviewing the basic principles of algebraic topology, we derive a sampling theory for signals of any order and emphasize the interplay between signals of different order. Then we propose a method to infer the topology of a simplicial complex from data. We conclude with applications to real edge signals and to the analysis of discrete vector fields to illustrate the benefits of the proposed methodologies.",2019-07-26T13:50:01Z,2020-03-13T13:48:55Z,http://arxiv.org/abs/1907.11577v2,http://arxiv.org/pdf/1907.11577v2,eess.SP
Signal denoising based on the Schrödinger operator's eigenspectrum and   a curvature constraint,"Peihao Li, Taous Meriem Laleg-Kirati","Recently, a new Signal processing method, named Semi-Classical Signal Analysis (SCSA), has been proposed for denoising Magnetic Resonance Spectroscopy (MRS) signals. It is based on the Schr\""odinger Operator's eigenspectrum. It allows an efficient noise reduction while preserving MRS signal's peaks. In this paper, we propose to extend this approach to different signals, in particular pulse shaped signals, by including an optimization that considers curvature constraints. The performance of the method is measured by analyzing noisy signal data and comparing with other denoising methods. Results indicate that the proposed method not only produces good denoising performance but also guarantees the peaks are well preserved in the denoising process.",2019-08-21T09:22:52Z,2019-08-21T09:22:52Z,http://arxiv.org/abs/1908.07758v1,http://arxiv.org/pdf/1908.07758v1,eess.SP
Recovery of Graph Signals from Sign Measurements,"Wenwei Liu, Hui Feng, Kaixuan Wang, Feng Ji, Bo Hu","Sampling and interpolation have been extensively studied, in order to reconstruct or estimate the entire graph signal from the signal values on a subset of vertexes, of which most achievements are about continuous signals. While in a lot of signal processing tasks, signals are not fully observed, and only the signs of signals are available, for example a rating system may only provide several simple options. In this paper, the reconstruction of band-limited graph signals based on sign sampling is discussed and a greedy sampling strategy is proposed. The simulation experiments are presented, and the greedy sampling algorithm is compared with random sampling algorithm, which verify the validity of the proposed approach.",2021-09-26T12:00:55Z,2021-09-26T12:00:55Z,http://arxiv.org/abs/2109.12576v1,http://arxiv.org/pdf/2109.12576v1,eess.SP
Modelling Underwater Acoustic Propagation using One-way Wave Equations,Indrakshi Dey,"The primary contribution of this paper is to characterize the propagation of acoustic signal carrying information through any medium and the interaction of the travelling acoustic signal with the surrounding medium. We will use the concept of damped harmonic oscillator to model the medium and Milne's oscillator technique to map the interaction of the acoustic signal with the medium. The acoustic signal itself will be modelled using the one-way wave equation formulated in terms of acoustic pressure and velocity of acoustic waves through the medium. Using the above-mentioned concepts, we calculated the effective signal strength, phase shift and time period of the communicated signal. Numerical results are generated to present the evolution of signal strength and received signal envelope in underwater environment.",2022-02-14T08:58:46Z,2022-02-14T08:58:46Z,http://arxiv.org/abs/2202.06559v1,http://arxiv.org/pdf/2202.06559v1,eess.SP
Signal Structure of the Starlink Ku-Band Downlink,"Todd E. Humphreys, Peter A. Iannucci, Zacharias Komodromos, Andrew M. Graff","We develop a technique for blind signal identification of the Starlink downlink signal in the 10.7 to 12.7 GHz band and present a detailed picture of the signal's structure. Importantly, the signal characterization offered herein includes the exact values of synchronization sequences embedded in the signal that can be exploited to produce pseudorange measurements. Such an understanding of the signal is essential to emerging efforts that seek to dual-purpose Starlink signals for positioning, navigation, and timing, despite their being designed solely for broadband Internet provision.",2022-10-20T20:34:00Z,2023-08-30T20:09:28Z,http://arxiv.org/abs/2210.11578v3,http://arxiv.org/pdf/2210.11578v3,eess.SP
Towards bandwidth estimation for graph signal reconstruction,"Ajinkya Jayawant, Antonio Ortega","In numerous graph signal processing applications, data is often missing for a variety of reasons, and predicting the missing data is essential. In this paper, we consider data on graphs modeled as bandlimited graph signals. Predicting or reconstructing the unknown signal values for such a model requires an estimate of the signal bandwidth. In this paper, we address the problem of estimating the reconstruction errors, minimizing which would thereby provide an estimate of the signal bandwidth. In doing so, we design a cross-validation approach needed for stable graph signal reconstruction and propose a method for estimating the reconstruction errors for different choices of signal bandwidth. Using this technique, we are able to estimate the reconstruction error on a variety of real-world graphs.",2023-03-12T08:27:11Z,2023-03-12T08:27:11Z,http://arxiv.org/abs/2303.06608v1,http://arxiv.org/pdf/2303.06608v1,eess.SP
Low-Complexity Signal Detection for the Splitting Receiver Scheme,"Yanyan Wang, Qidi Li, Xiaohu Tang","This letter proposes a low-complexity signal detection method for the splitting receiver scheme, which achieves an excellent symbol error rate (SER) performance. Based on the three-dimensional (3D) received signal of the splitting receiver, we derive an equivalent two-dimensional (2D) signal model and develop a low-complexity signal detection method for the practical modulation scheme. The computational complexity of the proposed signal detector is reduced by at least 11.1 times as compared to the 3D signal detection scheme shown in [1]. Simulation results demonstrate that the approximation SER achieved by the low-complexity signal detection is very close to that of the accurate SER at a certain power splitting ratio.",2023-05-30T04:15:56Z,2023-05-30T04:15:56Z,http://arxiv.org/abs/2305.18733v1,http://arxiv.org/pdf/2305.18733v1,eess.SP
Abnormal Signal Recognition with Time-Frequency Spectrogram: A Deep   Learning Approach,"Tingyan Kuang, Huichao Chen, Lu Han, Rong He, Wei Wang, Guoru Ding","With the increasingly complex and changeable electromagnetic environment, wireless communication systems are facing jamming and abnormal signal injection, which significantly affects the normal operation of a communication system. In particular, the abnormal signals may emulate the normal signals, which makes it very challenging for abnormal signal recognition. In this paper, we propose a new abnormal signal recognition scheme, which combines time-frequency analysis with deep learning to effectively identify synthetic abnormal communication signals. Firstly, we emulate synthetic abnormal communication signals including seven jamming patterns. Then, we model an abnormal communication signals recognition system based on the communication protocol between the transmitter and the receiver. To improve the performance, we convert the original signal into the time-frequency spectrogram to develop an image classification algorithm. Simulation results demonstrate that the proposed method can effectively recognize the abnormal signals under various parameter configurations, even under low signal-to-noise ratio (SNR) and low jamming-to-signal ratio (JSR) conditions.",2022-05-30T11:29:28Z,2022-05-30T11:29:28Z,http://arxiv.org/abs/2205.15001v1,http://arxiv.org/pdf/2205.15001v1,eess.SP
