title,authors,summary,published,updated,link,pdf_url,categories
Quantum information science and complex quantum systems,Michael A. Nielsen,What makes quantum information science a science? This paper explores the idea that quantum information science may offer a powerful approach to the study of complex quantum systems.,2002-10-01T13:23:14Z,2002-10-01T13:23:14Z,http://arxiv.org/abs/quant-ph/0210005v1,http://arxiv.org/pdf/quant-ph/0210005v1,quant-ph
Impact of JD Bernal Thoughts in the Science of Science upon China:   Implications for Quantitative Studies of Science Today,"Yong Zhao, Jian Du, Yishan Wu","John Desmond Bernal (1901-1970) was one of the most eminent scientists in molecular biology, and also regarded as the founding father of the Science of Science. His book The Social Function of Science laid the theoretical foundations for the discipline. In this article, we summarize four chief characteristics of his ideas in the Science of Science: the socio-historical perspective, theoretical models, qualitative and quantitative approaches, and studies of science planning and policy. China has constantly reformed its scientific and technological system based on research evidence of the Science of Science. Therefore, we analyze the impact of Bernal Science-of-Science thoughts on the development of Science of Science in China, and discuss how they might be usefully taken still further in quantitative studies of science.",2020-03-03T02:29:11Z,2020-03-05T06:38:16Z,http://arxiv.org/abs/2003.02135v2,http://arxiv.org/pdf/2003.02135v2,"physics.soc-ph, cs.DL, physics.hist-ph"
A Lesson from the James Webb Space Telescope: Early Engagement with   Future Astrophysics Great Observatories Maximizes their Solar System Science,"Heidi B. Hammel, Stefanie N. Milam","Astrophysics facilities have been of tremendous importance for planetary science. The flagship space observatory Hubble Space Telescope has produced ground-breaking Solar System science, but when launched it did not even have the capability to track moving targets. The next astrophysics flagship mission, the James Webb Space Telescope, included Solar System scientists in its science team from the earliest days, with the result that Webb will launch with a diverse program and capabilities for Solar System exploration. The New Great Observatories, as well as future ground-based facilities, offer the opportunity for a robust suite of observations that will complement, enhance, and enable future Solar System exploration. We encourage the Planetary Science and Astrobiology Decadal Survey to overtly acknowledge the prospects for excellent Solar System science with the next generation of astrophysics facilities. We hope the Planetary Decadal will further encourage these missions to continue to formally involve Solar System scientists in the science working groups and development teams.",2020-07-16T20:36:24Z,2020-07-16T20:36:24Z,http://arxiv.org/abs/2007.08618v1,http://arxiv.org/pdf/2007.08618v1,"astro-ph.IM, astro-ph.EP"
The Globalization of Science: The Increasing Power of Individual   Scientists,Marek Kwiek,"National science systems have become embedded in global science and countries do everything they can to harness global knowledge to national economic needs. However, accessing and using the riches of global knowledge can occur only through scientists. Consequently, the research power of nations relies on the research power of individual scientists. Their capacity to collaborate internationally and to tap into the global networked science is key. The constantly evolving, bottom-up, autonomous, self-regulating, and self-focused nature of global science requires deeper understanding; and the best way to understand its dynamics is to understand what drives academic scientists in their work. The idea that science remains a state-driven rather than curiosity-driven is difficult to sustain. In empirical terms, we describe the globalization of science using selected publication, collaboration, and citation data from 2000-2020. The globalization of science implies two different processes in two different system types: the growth of science in the Western world is almost entirely attributable to internationally co-authored publications; its growth in the developing world, in contrast, is driven by both internationally co-authored and domestic publications. Global network science opens incredible opportunities to new arrivals - countries as well as institutions and research teams. The global system is embedded in the rules created by scientists themselves and maintained as a self-organizing system and nation-states have another major level to consider in their science policies: the global level. Globalization of science provides more agency, autonomy, collegiality, and self-regulation to scientists embedded in national science structures and involved in global networks.",2023-12-09T12:12:51Z,2023-12-09T12:12:51Z,http://arxiv.org/abs/2402.03313v1,http://arxiv.org/pdf/2402.03313v1,physics.soc-ph
"Finite Dynamical Systems, Linear Automata, and Finite Fields","Oscar Moreno, Dorothy Bollman, Maria A. Avino-Diaz","We establish a connection between finite fields and finite dynamical systems. We show how this connection can be used to shed light on some problems in finite dynamical systems and in particular, in linear systems.",2006-04-25T14:05:56Z,2006-04-25T14:05:56Z,http://arxiv.org/abs/math/0604534v1,http://arxiv.org/pdf/math/0604534v1,"math.DS, math.RA, q-bio.GN, 11T06, 37B10, 92B05"
"The Art and Practice of Data Science Pipelines: A Comprehensive Study of   Data Science Pipelines In Theory, In-The-Small, and In-The-Large","Sumon Biswas, Mohammad Wardat, Hridesh Rajan","Increasingly larger number of software systems today are including data science components for descriptive, predictive, and prescriptive analytics. The collection of data science stages from acquisition, to cleaning/curation, to modeling, and so on are referred to as data science pipelines. To facilitate research and practice on data science pipelines, it is essential to understand their nature. What are the typical stages of a data science pipeline? How are they connected? Do the pipelines differ in the theoretical representations and that in the practice? Today we do not fully understand these architectural characteristics of data science pipelines. In this work, we present a three-pronged comprehensive study to answer this for the state-of-the-art, data science in-the-small, and data science in-the-large. Our study analyzes three datasets: a collection of 71 proposals for data science pipelines and related concepts in theory, a collection of over 105 implementations of curated data science pipelines from Kaggle competitions to understand data science in-the-small, and a collection of 21 mature data science projects from GitHub to understand data science in-the-large. Our study has led to three representations of data science pipelines that capture the essence of our subjects in theory, in-the-small, and in-the-large.",2021-12-02T20:16:03Z,2022-02-14T17:35:39Z,http://arxiv.org/abs/2112.01590v3,http://arxiv.org/pdf/2112.01590v3,"cs.SE, D.2.0"
Computer Science,"Mahyuddin K. M. Nasution, Rahmat Hidayat, Rahmad Syah","Possible for science itself, conceptually, to have and will understand differently, let alone science also seen as technology, such as computer science. After all, science and technology are viewpoints diverse by either individual, community, or social. Generally, it depends on socioeconomic capabilities. So it is with computer science has become a phenomenon and fashionable, where based on the stream of documents, various issues arise in either its theory or implementation, adapting different communities, or designing curriculum holds in the education system.",2022-07-16T10:54:57Z,2022-07-16T10:54:57Z,http://arxiv.org/abs/2207.07901v1,http://arxiv.org/pdf/2207.07901v1,"cs.CY, 68-XX 68-00, F.2.2; I.2.7"
Inverse Scattering Transform and the Theory of Solitons,Tuncay Aktosun,"A review of the inverse scattering transform is given, and an introduction to solitons is provided.",2009-05-28T20:42:08Z,2009-05-28T20:42:08Z,http://arxiv.org/abs/0905.4746v1,http://arxiv.org/pdf/0905.4746v1,nlin.SI
"What complexity science is, and why",Petter Holme,"This is an essay about understanding complexity science, via some peculiarities of the field, as a meeting place for a special kind of scientist. It comes out of my hobby of reading popular-science complex systems books, and builds on notes that have been collecting dust for almost a decade.",2022-01-11T03:32:31Z,2022-01-11T03:32:31Z,http://arxiv.org/abs/2201.03762v1,http://arxiv.org/pdf/2201.03762v1,physics.soc-ph
Complexity science and intentional systems,Loet Leydesdorff,"In their position paper entitled ""Towards a new, complexity science of learning and education"", Jorg et al. (2007) argue that educational research is in crisis. In their opinion, the transdisciplinary and interdiscursive approach of complexity science with its orientation towards self-organization, emergence, and potentiality provides new modes of inquiry, a new lexicon and assessment practices that can be used to overcome the current crisis. In this contribution, I elaborate on how complexity science can further be developed for understanding the dynamics of intentions and the communication of meaning as these are central to the social-scientific enterprise.",2009-11-07T19:12:07Z,2009-11-07T19:12:07Z,http://arxiv.org/abs/0911.1449v1,http://arxiv.org/pdf/0911.1449v1,"physics.soc-ph, nlin.AO"
